ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Subfamily_05,Genus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
137,'MCZ_3286_cr_lt_left_1A_29_04_2013_flipped.tif',MCZ_3286,Y,Soricomorpha,,Soricidae,Soricinae,Neomys,fodiens,,Neomys_fodiens,
138,'MCZ_34894_cr_lt_1A_01_05_2013.TIF',MCZ_34894,Y,Soricomorpha,,Soricidae,Soricinae,Neomys,anomalus,,Neomys_anomalus,
139,'MCZ_34895_cr_lt_1A_01_05_2013.TIF',MCZ_34895,Y,Soricomorpha,,Soricidae,Soricinae,Neomys,anomalus,,Neomys_anomalus,
140,'MCZ_35359_cr_lt_1A_02_05_2013.TIF',MCZ_35359,Y,Soricomorpha,,Talpidae,Talpinae,Galemys,pyrenaicus,,Galemys_pyrenaicus,
141,'MCZ_38252_cr_lt_1A_29_04_2013.TIF',MCZ_38252,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Neotetracus,sinensis,,Neotetracus_sinensis,
142,'MCZ_38261_cr_lt_1A_29_04_2013.TIF',MCZ_38261,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Neotetracus,sinensis,,Neotetracus_sinensis,
143,'MCZ_38262_cr_lt_1A_29_04_2013.TIF',MCZ_38262,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Neotetracus,sinensis,,Neotetracus_sinensis,
144,'MCZ_43745_cr_lt_1A_01_05_2013.TIF',MCZ_43745,Y,Soricomorpha,,Soricidae,Crocidurinae,Crocidura,fumosa,,Crocidura_fumosa,
145,'MCZ_43746_cr_lt_1A_01_05_2013.TIF',MCZ_43746,Y,Soricomorpha,,Soricidae,Crocidurinae,Crocidura,fumosa,,Crocidura_fumosa,
146,'MCZ_43750_cr_lt_1A_01_05_2013.TIF',MCZ_43750,Y,Soricomorpha,,Soricidae,Crocidurinae,Crocidura,fumosa,,Crocidura_fumosa,
147,'MCZ_45021_cr_lt_1A_29_04_2013.TIF',MCZ_45021,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,tetradactylus,,Oryzorictes_tetradactylus,
148,'MCZ_45022_cr_lt_1A_29_04_2013.TIF',MCZ_45022,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,tetradactylus,,Oryzorictes_tetradactylus,
149,'MCZ_45033_cr_lt_1A_02_05_2013.TIF',MCZ_45033,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,pusilla,,Microgale_pusilla,
150,'MCZ_45050_cr_lt_1A_29_04_2013.TIF',MCZ_45050,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Limnogale,mergulus,,Limnogale_mergulus,
151,'MCZ_45450_cr_lt_1A_29_04_2013.TIF',MCZ_45450,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Geogalinae,Geogale,aurita,,Geogale_aurita,
152,'MCZ_46274_cr_lt_1A_29_04_2013.TIF',MCZ_46274,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Geogalinae,Geogale,aurita,,Geogale_aurita,
153,'MCZ_4836_cr_lt_1A_01_05_2013.TIF',MCZ_4836,Y,Soricomorpha,,Talpidae,Scalopinae,Scapanus,latimanus,,Scapanus_latimanus,
154,'MCZ_5187_cr_lt_left_1A_29_04_2013_flipped.tif',MCZ_5187,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Hemiechinus,collaris,,Hemiechnius_collaris,
155,'MCZ_56806_cr_lt_1A_02_05_2013.TIF',MCZ_56806,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Atelerix,albiventris,,Atelerix_albiventris,
156,'MCZ_64784_cr_lt_1A_29_04_2013.TIF',MCZ_64784,Y,Soricomorpha,,Soricidae,Soricinae,Sorex,palustris,albibarbis,Sorex_palustris,Sorex_palustris_albibarbis
157,'MCZ_64793_cr_lt_1A_29_04_2013.TIF',MCZ_64793,Y,Soricomorpha,,Soricidae,Soricinae,Sorex,palustris,albibarbis,Sorex_palustris,Sorex_palustris_albibarbis
158,'MCZ_67217_cr_lt_1A_29_04_2013.TIF',MCZ_67217,Y,Soricomorpha,,Soricidae,Soricinae,Sorex,palustris,albibarbis,Sorex_palustris,Sorex_palustris_albibarbis
159,'MCZ_79_cr_lt_1A_01_05_2013.TIF',MCZ_79,Y,Soricomorpha,,Talpidae,Scalopinae,Scapanus,latimanus,,Scapanus_latimanus,
160,'MCZ_9149_cr_lt_1A_01_05_2013.TIF',MCZ_9149,Y,Soricomorpha,,Talpidae,Scalopinae,Scapanus,latimanus,,Scapanus_latimanus,
