ID,Image,SpecID,Skull,Order_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
87,'MCZ_43745_ma_1A_01_05_2013.TIF',MCZ_43745,Y,Soricomorpha,Soricidae,Crocidura,,fumosa,,Crocidura_fumosa,
88,'MCZ_43746_ma_1A_01_05_2013.TIF',MCZ_43746,Y,Soricomorpha,Soricidae,Crocidura,,fumosa,,Crocidura_fumosa,
89,'MCZ_43750_ma_1A_01_05_2013.TIF',MCZ_43750,Y,Soricomorpha,Soricidae,Crocidura,,fumosa,,Crocidura_fumosa,
90,'MCZ_45021_ma_flipped_1A_29_04_2013.TIF',MCZ_45021,Y,Afrosoricida,Tenrecidae,Oryzorictes,,tetradactylus,,Oryzorictes_tetradactylus,
91,'MCZ_45022_ma_1A_29_04_2013.TIF',MCZ_45022,Y,Afrosoricida,Tenrecidae,Oryzorictes,,tetradactylus,,Oryzorictes_tetradactylus,
92,'MCZ_45033_ma_1A_02_05_2013.TIF',MCZ_45033,Y,Afrosoricida,Tenrecidae,Microgale,,pusilla,,Microgale_pusilla,
93,'MCZ_45050_ma_1A_29_04_2013.TIF',MCZ_45050,Y,Afrosoricida,Tenrecidae,Limnogale,,mergulus,,Limnogale_mergulus,
94,'MCZ_45450_ma_1A_29_04_2013.TIF',MCZ_45450,Y,Afrosoricida,Tenrecidae,Geogale,,aurita,,Geogale_aurita,
95,'MCZ_46274_ma_1A_29_04_2013.TIF',MCZ_46274,Y,Afrosoricida,Tenrecidae,Geogale,,aurita,,Geogale_aurita,
96,'MCZ_4836_ma_1A_01_05_2013.TIF',MCZ_4836,Y,Soricomorpha,Talpidae,Scapanus,,latimanus,,Scapanus_latimanus,
97,'MCZ_5187_ma_1A_29_04_2013.TIF',MCZ_5187,Y,Erinaceomorpha,Erinaceidae,Hemiechinus,,collaris,,Hemiechinus_collaris,
98,'MCZ_56806_ma_1A_02_05_2013.TIF',MCZ_56806,Y,Erinaceomorpha,Erinaceidae,Atelerix,,albiventris,,Atelerix_albiventris,
99,'MCZ_64784_cr_ma_1A_29_04_2013.TIF',MCZ_64784,Y,Soricomorpha,Soricidae,Sorex,Otisorex,palustris,albibarbis,Sorex_palustris,Sorex_palustris_albibarbis
100,'MCZ_64793_ma_1A_29_04_2013.TIF',MCZ_64793,Y,Soricomorpha,Soricidae,Sorex,Otisorex,palustris,albibarbis,Sorex_palustris,Sorex_palustris_albibarbis
101,'MCZ_67217_ma_1A_29_04_2013.TIF',MCZ_67217,Y,Soricomorpha,Soricidae,Sorex,Otisorex,palustris,albibarbis,Sorex_palustris,Sorex_palustris_albibarbis
102,'MCZ_79_ma_1A_01_05_2013.TIF',MCZ_79,Y,Soricomorpha,Talpidae,Scapanus,,latimanus,,Scapanus_latimanus,
103,'MCZ_9149_ma_1A_01_05_2013.TIF',MCZ_9149,Y,Soricomorpha,Talpidae,Scapanus,,latimanus,,Scapanus_latimanus,
104,'NHML_1870.3.10.15_1527.a_ma_lt_1A_02_13.TIF',NHML_1870.3.10.15_1527.a,Y,Afrosoricida,Tenrecidae,Setifer,,setosus,,Setifer_setosus,
105,'NHML_1919.7.7.2313_ma_lt_1A_01_13.TIF',NHML_1919.7.7.2313,Y,Soricomorpha,Talpidae,Desmana,,moschata,,Desmana_moschata,
106,'NHML_1934.6.16.2_ma_lt_1A_02_13.TIF',NHML_1934.6.16.2,Y,Afrosoricida,Tenrecidae,Potamogale,,velox,,Potamogale_velox,
107,'NHML_1958.3.11.7_ma_lt_1A_01_13.TIF',NHML_1958.3.11.7,Y,Soricomorpha,Talpidae,Scalopus,,aquaticus,,Scalopus_aquaticus,
108,'NHML_1960.10.11.12_ma_lt_1A_01_13.TIF',NHML_1960.10.11.12,Y,Soricomorpha,Talpidae,Galemys,,pyrenaicus,,Galemys_pyrenaicus,
109,'NHML_1960.5.2.1_ma_lt_1A_02_13.TIF',NHML_1960.5.2.1,Y,Erinaceomorpha,Erinaceidae,Echinosorex,,gymnura,,Echinosorex_gymnura,
110,'NHML_1960.8.4.7_ma_lt_1A_01_13.TIF',NHML_1960.8.4.7,Y,Erinaceomorpha,Erinaceidae,Hylomys,,suillus,,Hylomys_suillus,
111,'NHML_1961.6.2.3_ma_lt_1A_01_13.TIF',NHML_1961.6.2.3,Y,Afrosoricida,Chrysochloridae,Chrysospalax,,trevelyani,,Chrysospalax_trevelyani,
112,'NHML_1966.7.6.2_ma_lt_1A_01_13.TIF',NHML_1966.7.6.2,Y,Soricomorpha,Talpidae,Urotrichus,,talpoides,,Urotrichus_talpoides,
113,'NHML_3.1.1.1_ma_lt_1A_01_13.TIF',NHML_3.1.1.1,Y,Afrosoricida,Tenrecidae,Geogale,,aurita,,Geogale_aurita,
114,'NHML_3.6.2.10_ma_lt_1A_01_13.TIF',NHML_3.6.2.10,Y,Afrosoricida,Chrysochloridae,Amblysomus,,hottentotus,,Amblysomus_hottentotus,
115,'NHML_3509_ma_lt_1A_02_13.TIF',NHML_3509,Y,Afrosoricida,Tenrecidae,Tenrec,,ecaudatus,,Tenrec_ecaudatus,
116,'NHML_67.213_ma_lt_1A_02_13.TIF',NHML_67.213,Y,Afrosoricida,Tenrecidae,Micropotamogale,,ruwenzorii,,Micropotamogale_ruwenzorii,
117,'NHML_73.170_ma_lt_1A_02_13.TIF',NHML_73.170,Y,Afrosoricida,Tenrecidae,Micropotamogale,,lamottei,,Micropotamogale_lamottei,
118,'NHML_74.668_ma_lt_1A_01_13.TIF',NHML_74.668,Y,Afrosoricida,Chrysochloridae,Chrysochloris,,sp.,,Chrysochloris_sp.,
119,'NHML_75.2223_ma_lt_1A_01_13.TIF',NHML_75.2223,Y,Afrosoricida,Tenrecidae,Microgale,,cowani,,Microgale_cowani,
120,'NHML_82.3.1.11_ma_lt_1A_01_13.TIF',NHML_82.3.1.11,Y,Afrosoricida,Tenrecidae,Hemicentetes,,nigriceps,,Hemicentetes_nigriceps,
121,'NHML_98.2.2.8_ma_lt_1A_01_13.TIF',NHML_98.2.2.8,Y,Soricomorpha,Talpidae,Talpa,,occidentalis,,Talpa_occidentalis,
122,'SI_081981_ma_1A_11_04_2013.TIF',SI_081981,Y,Soricomorpha,Talpidae,Neurotrichus,,gibbsii,gibbsii,Neurotrichus_gibbsii,Neurotrichus_gibbsii_gibbsii
123,'SI_081984_ma_1A_11_04_2013.TIF',SI_081984,Y,Soricomorpha,Talpidae,Neurotrichus,,gibbsii,gibbsii,Neurotrichus_gibbsii,Neurotrichus_gibbsii_gibbsii
124,'SI_081985_ma_1A_11_04_2013.TIF',SI_081985,Y,Soricomorpha,Talpidae,Neurotrichus,,gibbsii,gibbsii,Neurotrichus_gibbsii,Neurotrichus_gibbsii_gibbsii
125,'SI_083658_ma_1A_29_03_2013.TIF',SI_083658,Y,Afrosoricida,Tenrecidae,Hemicentetes,,semispinosus,,Hemicentetes_semispinosus,
126,'SI_111038_ma_1A_19_04_2013.TIF',SI_111038,Y,Soricomorpha,Soricidae,Blarina,,brevicauda,,Blarina_brevicauda,
127,'SI_112924_ma_1A_09_04_2013.TIF',SI_112924,Y,Soricomorpha,Soricidae,Sorex,,alpinus,,Sorex_alpinus,
128,'SI_112929_ma_1A_09_04_2013.TIF',SI_112929,Y,Soricomorpha,Soricidae,Sorex,,alpinus,,Sorex_alpinus,
129,'SI_112932_ma_left_flipped_1A_09_04_2013.TIF',SI_112932,Y,Soricomorpha,Soricidae,Sorex,,alpinus,,Sorex_alpinus,
130,'SI_114127_ma_1A_18_04_2013.TIF',SI_114127,Y,Soricomorpha,Talpidae,Urotrichus,,talpoides,,Urotrichus_talpoides,
131,'SI_115274_ma_1A_16_04_2013.TIF',SI_115274,Y,Soricomorpha,Talpidae,Talpa,,caeca,caeca,Talpa_caeca,Talpa_caeca_caeca
132,'SI_121210_ma_1A_16_04_2013.TIF',SI_121210,Y,Soricomorpha,Talpidae,Talpa,,caeca,caeca,Talpa_caeca,Talpa_caeca_caeca
133,'SI_121215_ma_1A_16_04_2013.TIF',SI_121215,Y,Soricomorpha,Talpidae,Talpa,,caeca,caeca,Talpa_caeca,Talpca_caeca_caeca
134,'SI_131009_ma_1A_09_04_2013.TIF',SI_131009,Y,Soricomorpha,Soricidae,Sorex,Otisorex,cinereus,cinereus,Sorex_cinereus,Sorex_cinereus_cinereus
135,'SI_131010_ma_left_flipped_1A_09_04_2013.TIF',SI_131010,Y,Soricomorpha,Soricidae,Sorex,Otisorex,cinereus,cinereus,Sorex_cinereus,Sorex_cinereus_cinereus
136,'SI_131016_ma_1A_09_04_2013.TIF',SI_131016,Y,Soricomorpha,Soricidae,Sorex,Otisorex,cinereus,cinereus,Sorex_cinereus,Sorex_cinereus_cinereus
137,'SI_135614_ma_1A_19_04_2013.TIF',SI_135614,Y,Soricomorpha,Soricidae,Blarina,,brevicauda,talpoides,Blarina_brevicauda,Blarina_brevicauda_talpoides
138,'SI_135621_ma_1A_19_04_2013.TIF',SI_135621,Y,Soricomorpha,Soricidae,Blarina,,brevicauda,talpoides,Blarina_brevicauda,Blarina_brevicauda_talpoides
139,'SI_152328_ma_1A_18_04_2013.TIF',SI_152328,Y,Soricomorpha,Talpidae,Talpa,,europaea,europaea,Talpa_europaea,Talpa_europaea_europaea
140,'SI_152330_ma_1A_18_04_2013.TIF',SI_152330,Y,Soricomorpha,Talpidae,Talpa,,europaea,europaea,Talpa_europaea,Talpa_europaea_europaea
141,'SI_152369_ma_1A_18_04_2013.TIF',SI_152369,Y,Soricomorpha,Talpidae,Talpa,,europaea,europaea,Talpa_europaea,Talpa_europaea_europaea
142,'SI_152522_ma_1A_09_04_2013.TIF',SI_152522,Y,Soricomorpha,Talpidae,Galemys,,pyrenaicus,,Galemys_pyrenaicus,
143,'SI_154988_ma_1A_03_04_2013.TIF',SI_154988,Y,Afrosoricida,Tenrecidae,Microgale,,dobsoni,,Microgale_dobsoni,
144,'SI_154989_ma_1A_26_03_2013.TIF',SI_154989,Y,Afrosoricida,Tenrecidae,Oryzorictes,,tetradactylus,,Oryzorictes_tetradactylus,
145,'SI_168479_ma_1A_11_04_2013.TIF',SI_168479,Y,Soricomorpha,Talpidae,Scalopus,,aquaticus,aereus,Scalopus_aquaticus,Scalopus_aquaticus_aereus
146,'SI_169228_ma_1A_11_04_2013.TIF',SI_169228,Y,Soricomorpha,Talpidae,Scalopus,,aquaticus,aereus,Scalopus_aquaticus,Scalopus_aquaticus_aereus
147,'SI_170587_ma_1A_11_04_2013.TIF',SI_170587,Y,Soricomorpha,Talpidae,Scalopus,,aquaticus,aereus,Scalopus_aquaticus,Scalopus_aquaticus_aereus
148,'SI_182583_ma_1A_16_04_2013.TIF',SI_182583,Y,Soricomorpha,Soricidae,Surdisorex,,norae,,Surdisorex_norae,
149,'SI_186672_ma_1A_09_04_2013.TIF',SI_186672,Y,Soricomorpha,Talpidae,Galemys,,pyrenaicus,pyrenaicus,Galemys_pyrenaicus,Galemys_pyrenaicus_pyrenaicus
150,'SI_221420_ma_1A_28_03_2013.TIF',SI_221420,Y,Afrosoricida,Chrysochloridae,Chlorotalpa,,duthieae,,Chlorotalpa_duthieae,
151,'SI_254812_ma_1A_16_04_2013.TIF',SI_254812,Y,Soricomorpha,Soricidae,Nectogale,,elegans,,Nectogale_elegans,
152,'SI_259351_ma_1A_16_04_2013.TIF',SI_259351,Y,Soricomorpha,Soricidae,Anourosorex,,squamipes,,Anourosorex_squamipes,
153,'SI_259356_ma_1A_16_04_2013.TIF',SI_259356,Y,Soricomorpha,Soricidae,Anourosorex,,squamipes,,Anourosorex_squamipes,
154,'SI_260640_ma_1A_28_03_2013.TIF',SI_260640,Y,Erinaceomorpha,Erinaceidae,Hylomys,,suillus,,Hylomys_suillus,
155,'SI_261041_ma_1A_16_04_2013.TIF',SI_261041,Y,Soricomorpha,Soricidae,Anourosorex,,yamashinai,,Anourosorex_yamashinai,
