ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
285,'SI_449155_cr_dr_1A_16_04_2013.TIF',SI_449155,Y,Soricomorpha,,Soricidae,Nectogale,,elegans,,Nectogale_elegans,
286,'SI_449177_cr_dr_1A_03_04_2013.TIF',SI_449177,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,taiva,,Microgale_taiva,
287,'SI_449179_cr_dr_1A_26_03_2013.TIF',SI_449179,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,gracilis,,Microgale_gracilis,
288,'SI_449192_cr_dr_1A_03_04_2013.TIF',SI_449192,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,dobsoni,,Microgale_dobsoni,
289,'SI_468211_cr_dr_1A_28_03_2013.TIF',SI_468211,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,frontalis,,Atelerix_frontalis,
290,'SI_468315_cr_dr_1A_03_04_2013.TIF',SI_468315,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochloris,,asiatica,,Chrysochloris_asiatica,
291,'SI_468316_cr_dr_1A_03_04_2013.TIF',SI_468316,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochloris,,asiatica,,Chrysochloris_asiatica,
292,'SI_468317_cr_dr_1A_03_04_2013.TIF',SI_468317,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochloris,,asiatica,,Chrysochloris_asiatica,
293,'SI_468318_cr_dr_1A_03_04_2013.TIF',SI_468318,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Eremitalpa,,granti,,Eremitalpa_granti,
294,'SI_468319_cr_dr_1A_28_03_2013.TIF',SI_468319,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Cryptochloris,,wintoni,,Cryptochloris_wintoni,
295,'SI_470211_cr_dr_1A_28_03_2013.TIF',SI_470211,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Calcochloris,Calcochloris,obtusirostris,,Calcochloris_obtusirostris,
296,'SI_470563_cr_dr_1A_26_03_2013.TIF',SI_470563,Y,Erinaceomorpha,,Erinaceidae,Paraechinus,,aethiopicus,deserti,Paraechinus_aethiopicus,
297,'SI_470564_cr_dr_1A_26_03_2013.TIF',SI_470564,Y,Erinaceomorpha,,Erinaceidae,Paraechinus,,aethiopicus,deserti,Paraechinus_aethiopicus,
298,'SI_470565_cr_dr_1A_26_03_2013.TIF',SI_470565,Y,Erinaceomorpha,,Erinaceidae,Paraechinus,,aethiopicus,deserti,Paraechinus_aethiopicus,
299,'SI_470566_cr_dr_1A_26_03_2013.TIF',SI_470566,Y,Erinaceomorpha,,Erinaceidae,Paraechinus,,aethiopicus,deserti,Paraechinus_aethiopicus,
300,'SI_470568_cr_dr_1A_26_03_2013.TIF',SI_470568,Y,Erinaceomorpha,,Erinaceidae,Paraechinus,,aethiopicus,deserti,Paraechinus_aethiopicus,
301,'SI_470571_cr_dr_1A_28_03_2013.TIF',SI_470571,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,algirus,,Atelerix_algirus,
302,'SI_470572_cr-dr_1A_28_03_2013.TIF',SI_470572,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,algirus,,Atelerix_algirus,
303,'SI_470573_cr_dr_1A_28_03_2013.TIF',SI_470573,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,algirus,,Atelerix_algirus,
304,'SI_470574_cr_dr_1A_28_03_2013.TIF',SI_470574,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,algirus,,Atelerix_algirus,
305,'SI_487894_cr_dr_1A_08_04_2013.TIF',SI_487894,Y,Erinaceomorpha,,Erinaceidae,Echinosorex,,gymnura,,Echinosorex_gymnura,
306,'SI_487899_cr_dr_1A_08_04_2013.TIF',SI_487899,Y,Erinaceomorpha,,Erinaceidae,Echinosorex,,gymnura,,Echinosorex_gymnura,
307,'SI_537651_cr_dr_1A_05_04_2013.TIF',SI_537651,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogale,,velox,,Potamogale_velox,
308,'SI_574295_cr_dr_1A_16_04_2013.TIF',SI_574295,Y,Soricomorpha,,Soricidae,Anourosorex,,squamipes,,Anourosorex_squamipes,
309,'SI_574296_cr_dr_1A_16_04_2013.TIF',SI_574296,Y,Soricomorpha,,Soricidae,Nectogale,,elegans,,Nectogale_elegans,
310,'SI_574298_cr_dr_1A_16_04_2013.TIF',SI_574298,Y,Soricomorpha,,Talpidae,Uropsilus,,soricipes,,Uropsilus_soricipes,
311,'SI_574301_cr_dr_1A_16_04_2013.TIF',SI_574301,Y,Soricomorpha,,Talpidae,Uropsilus,,soricipes,,Uropsilus_soricipes,
312,'SI_574302_cr_dr_1A_16_04_2013.TIF',SI_574302,Y,Soricomorpha,,Talpidae,Uropsilus,,soricipes,,Uropsilus_soricipes,
313,'SI_577052_cr-dr_1A_26_03_2013.TIF',SI_577052,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictes,,hova,,Oryzorictes_hova,
314,'SI_577055_cr_dr_1A_03_04_2013.TIF',SI_577055,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,talazaci,,Microgale_talazaci,
315,'SI_578746_cr_dr_1A_03_04_2013.TIF',SI_578746,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,talazaci,,Microgale_talazaci,
316,'SI_578747_cr_dr_1A_03_04_2013.TIF',SI_578747,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,talazaci,,Microgale_talazaci,
